brand,model,type,year,transmisi, avg_2nd_price , new_price ,residu,depresiasi_residu,estimasi_1,depresiasi,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Honda,Mobilio,E,2018,Automatic,134000000,217500000,21774559.02,19572544.1,80492191.31,21750000,65250000,92470734,79404308.44,117621292.5,131049187.2,117621292.5
Hyundai,Creta,Prime,2023,Automatic,235000000,408300000,40876103.21,36742389.68,334815220.6,40830000,326640000,293976000,318477073.5,260043122.1,229825067.1,229825067.1
Honda,City,RS,2023,Automatic,235000000,373900000,37432218.93,33646778.11,306606443.8,37390000,299120000,269208000,291644814.6,251993444.4,229825067.1,229825067.1
Mazda,CX-3,Sport,2021,Automatic,249000000,339900000,34028379.82,30587162.02,217551351.9,33990000,203940000,198229680,206573677.3,236272103.2,243516773.2,236272103.2
Honda,HR-V,E,2016,Automatic,145000000,297000000,29733535.77,26726646.42,83186828.61,29700000,59400000,102279009.1,81621945.9,125986583.8,141806956.3,125986583.8
Honda,HR-V,E Special Edition,2019,Automatic,189000000,329500000,32987205.51,29651279.45,151592323.3,32950000,131800000,155653164,146348495.8,176204548.7,184838032.7,176204548.7
Toyota,Fortuner,VRZ 4X2,2021,Automatic,385000000,554700000,55532633.97,49916736.6,355033053.6,55470000,332820000,323501040,337118031.2,370635409.4,376521918.5,370635409.4
Honda,WR-V,RS Honda Sensing,2023,Automatic,220000000,309900000,31024992.37,27887500.76,254124998.5,30990000,247920000,223128000,241724332.8,226517299.8,215155382,215155382
Hyundai,Stargazer,Prime,2022,Automatic,188000000,307100000,30744676.21,27635532.38,224193402.9,30710000,214970000,199000800,212721401,195416420.3,183860053.7,183860053.7
Mitsubishi,Xpander Cross,Premium,2020,Automatic,199000000,289700000,29002711.49,26069728.85,159351355.7,28970000,144850000,152057736,152086363.9,184925909.2,194617822.8,184925909.2
Mitsubishi,Xpander Cross,Premium,2023,Automatic,245000000,342650000,34303690.34,30834630.97,280980738.1,34265000,274120000,246708000,267269579.4,251680873.8,239604857.2,239604857.2
Daihatsu,Sigra,D,2023,Manual,92000000,135000000,13515243.53,12148475.65,110703048.7,13500000,108000000,97200000,105301016.2,95990304.87,89974068.83,89974068.83
Honda,BR-V,Prestige,2023,Automatic,214000000,335000000,33537826.54,30146217.35,274707565.3,33500000,268000000,241200000,261302521.8,228190756.5,209287507.9,209287507.9
Honda,BR-V,E,2017,Automatic,128000000,249500000,24978172.3,22452182.77,69882537.84,24950000,49900000,95468061.24,71750199.69,111125059.9,125181313.2,111125059.9
Mitsubishi,Xpander,Ultimate,2019,Automatic,160000000,265100000,26539933.78,23856006.62,121963960.3,26510000,106040000,125231119.2,117745026.5,147323507.9,156476641.4,147323507.9
BMW,X5,xDrive40i xLine,2019,Automatic,599000000,1489000000,149068130.5,133993187,685040878.3,148900000,595600000,703391688,661344188.8,617703256.6,585809426.4,585809426.4
Toyota,Veloz,Q (Non Premium Color),2022,Automatic,203000000,291100000,29142869.57,26195713.04,212512860.9,29110000,203770000,188632800,201638553.6,202591566.1,198529738.8,202591566.1
Suzuki,XL7,Beta,2022,Automatic,177000000,270000000,27030487.06,24296951.29,197109146.1,27000000,189000000,174960000,187023048.7,180006914.6,173102284.6,173102284.6
Toyota,Fortuner,VRZ TRD 4X2,2020,Automatic,395000000,535800000,53640499.88,48215950.01,294720249.9,53580000,267900000,281230704,281283651.3,360885095.4,386301708.6,360885095.4
Honda,CR-V,Turbo Prestige,2019,Automatic,297000000,526400000,52699438.48,47370056.15,242179663.1,52640000,210560000,248667148.8,233802270.6,278040681.2,290459765.7,278040681.2
Honda,Jazz,RS,2019,Automatic,198000000,279000000,27931503.3,25106849.67,128358902,27900000,111600000,131797368,123918756.7,175775627,193639843.8,175775627
Honda,HR-V,E,2018,Automatic,177000000,312000000,31235229.49,28076477.05,115464660.6,31200000,93600000,132647673.6,113904111.4,158071233.4,173102284.6,158071233.4
Daihatsu,Xenia,R,2022,Automatic,176000000,245200000,24547686.77,22065231.32,179004306,24520000,171640000,158889600,169844635.3,174153390.6,172124305.6,174153390.6
Honda,Brio,E,2018,Automatic,115000000,141000000,14115921.02,12688407.9,52181144.71,14100000,42300000,59946544.8,51475896.5,95942768.95,112467586,95942768.95
Toyota,Raize,GR Sport (1 Tone),2022,Automatic,178000000,277600000,27791345.21,24980865.48,202657403.6,27760000,194320000,179884800,192287401.2,182286220.4,174080263.6,174080263.6
Toyota,Sienta,V,2017,Automatic,132000000,262200000,26249606.32,23595039.37,73439685.06,26220000,52440000,100327557.7,75402414.27,115020724.3,129093229.2,115020724.3
Toyota,Avanza,G,2020,Automatic,139000000,228050000,22830750.27,20521924.97,125440375.1,22805000,114025000,119698884,119721419.7,133216425.9,135939082.3,133216425.9
Nissan,Grand Livina,XV,2017,Automatic,119000000,237100000,23736772.16,21336322.78,66409417.72,23710000,47420000,90723355.99,68184257.91,103755277.4,116379502.1,103755277.4
Toyota,Fortuner,VRZ 4X2,2018,Automatic,332000000,510400000,51097631.84,45930236.82,188888342.3,51040000,153120000,216997989.1,186335443.8,288300633.1,324689031,288300633.1
Toyota,Fortuner,GR Sport 4X2,2022,Automatic,350000000,590200000,59086642.46,53111335.75,430865992.7,59020000,413140000,382449600,408818530.9,367645559.3,342292653.2,342292653.2
Toyota,Fortuner,VRZ 4X2,2022,Automatic,425000000,566200000,56683932.5,50951606.75,413345179.7,56620000,396340000,366897600,392194259.9,415158278,415641078.8,415158278
Toyota,Kijang Innova,V,2019,Automatic,213000000,391050000,39149155.43,35190084.46,179909493.3,39105000,156420000,184728891.6,173686128.3,201205838.5,208309528.9,201205838.5
Daihatsu,Ayla,M,2024,Manual,106000000,148900000,14906813.05,13399318.7,135500681.3,14890000,134010000,119120000,129543560.4,113063068.1,103665775,103665775
Honda,Brio,Satya E,2017,Automatic,98000000,147500000,14766654.97,13273334.5,41313323.97,14750000,29500000,56439034.2,42417452.72,81325235.82,95841942.88,81325235.82
